decoded_feature,chosen_task,reward_cond,decoded_fval_low,decoded_fval_high,fixed_fval,acc_t0,acc_t10,acc_t20,acc_t30,acc_t40,acc_t50
SF,SL,aR,2.1,2.7,2.4,0.843,0.781,0.6970000000000001,0.616,0.579,0.532
SF,SL,aR,2.1,2.7,2.5,0.842,0.79,0.694,0.62,0.5700000000000001,0.536
SF,SL,aR,2.1,2.7,2.6,0.84,0.795,0.7110000000000001,0.616,0.573,0.518
SF,SL,aR,2.1,2.7,2.7,0.8180000000000001,0.768,0.65,0.579,0.542,0.52
SF,SL,aR,2.1,2.7,2.8,0.856,0.79,0.702,0.5840000000000001,0.5509999999999999,0.521
SF,SL,aR,2.1,2.7,2.9,0.856,0.783,0.687,0.605,0.558,0.505
SF,SL,aR,2.2,2.8,2.1,0.838,0.8109999999999999,0.694,0.61,0.538,0.495
SF,SL,aR,2.2,2.8,2.2,0.844,0.786,0.7050000000000001,0.629,0.546,0.514
SF,SL,aR,2.2,2.8,2.3,0.8160000000000001,0.758,0.688,0.608,0.5740000000000001,0.544
SF,SL,aR,2.2,2.8,2.4,0.841,0.784,0.673,0.616,0.5369999999999999,0.5
SF,SL,aR,2.2,2.8,2.5,0.854,0.784,0.7070000000000001,0.603,0.536,0.524
SF,SL,aR,2.2,2.8,2.6,0.8180000000000001,0.753,0.656,0.596,0.563,0.54
SF,SL,aR,2.2,2.8,2.7,0.843,0.768,0.7070000000000001,0.624,0.5640000000000001,0.498
SF,SL,aR,2.2,2.8,2.8,0.836,0.766,0.671,0.577,0.534,0.504
SF,SL,aR,2.2,2.8,2.9,0.847,0.791,0.667,0.5569999999999999,0.544,0.521
SF,SL,aR,2.3,2.9,2.1,0.829,0.791,0.7050000000000001,0.602,0.5489999999999999,0.525
SF,SL,aR,2.3,2.9,2.2,0.855,0.7989999999999999,0.694,0.63,0.5660000000000001,0.526
SF,SL,aR,2.3,2.9,2.3,0.8200000000000001,0.778,0.7030000000000001,0.627,0.5529999999999999,0.525
SF,SL,aR,2.3,2.9,2.4,0.852,0.788,0.712,0.585,0.531,0.524
SF,SL,aR,2.3,2.9,2.5,0.83,0.78,0.6779999999999999,0.5740000000000001,0.5549999999999999,0.513
SF,SL,aR,2.3,2.9,2.6,0.861,0.793,0.694,0.614,0.524,0.521
SF,SL,aR,2.3,2.9,2.7,0.81,0.774,0.6990000000000001,0.5820000000000001,0.542,0.498
SF,SL,aR,2.3,2.9,2.8,0.836,0.786,0.698,0.622,0.548,0.502
SF,SL,aR,2.3,2.9,2.9,0.8260000000000001,0.758,0.6859999999999999,0.583,0.5369999999999999,0.521
SF,SL,aNR,2.1,2.7,2.1,0.8280000000000001,0.789,0.737,0.681,0.625,0.579
SF,SL,aNR,2.1,2.7,2.2,0.839,0.813,0.771,0.6970000000000001,0.647,0.5860000000000001
SF,SL,aNR,2.1,2.7,2.3,0.8240000000000001,0.782,0.74,0.6619999999999999,0.618,0.5780000000000001
SF,SL,aNR,2.1,2.7,2.4,0.827,0.795,0.751,0.694,0.631,0.593
SF,SL,aNR,2.1,2.7,2.5,0.846,0.7989999999999999,0.782,0.7130000000000001,0.636,0.593
SF,SL,aNR,2.1,2.7,2.6,0.838,0.764,0.712,0.671,0.615,0.556
SF,SL,aNR,2.1,2.7,2.7,0.842,0.793,0.747,0.669,0.591,0.577
SF,SL,aNR,2.1,2.7,2.8,0.825,0.784,0.724,0.6739999999999999,0.618,0.5820000000000001
SF,SL,aNR,2.1,2.7,2.9,0.835,0.802,0.737,0.659,0.604,0.5509999999999999
SF,SL,aNR,2.2,2.8,2.1,0.812,0.783,0.738,0.659,0.608,0.567
SF,SL,aNR,2.2,2.8,2.2,0.838,0.8109999999999999,0.746,0.706,0.622,0.5609999999999999
SF,SL,aNR,2.2,2.8,2.3,0.808,0.767,0.741,0.6799999999999999,0.624,0.5680000000000001
