decoded_feature,chosen_task,reward_cond,decoded_fval_low,decoded_fval_high,fixed_fval,acc_t0,acc_t10,acc_t20,acc_t30,acc_t40,acc_t50
SF,SF,aR,2.1,2.7,2.8,0.83,0.8280000000000001,0.8180000000000001,0.8140000000000001,0.8089999999999999,0.778
SF,SF,aR,2.1,2.7,2.9,0.839,0.829,0.8240000000000001,0.8240000000000001,0.815,0.786
SF,SF,aR,2.2,2.8,2.1,0.848,0.847,0.843,0.841,0.821,0.8160000000000001
SF,SF,aR,2.2,2.8,2.2,0.838,0.829,0.8140000000000001,0.8109999999999999,0.8,0.782
SF,SF,aR,2.2,2.8,2.3,0.849,0.838,0.83,0.831,0.819,0.8140000000000001
SF,SF,aR,2.2,2.8,2.4,0.84,0.84,0.838,0.847,0.845,0.8260000000000001
SF,SF,aR,2.2,2.8,2.5,0.846,0.847,0.832,0.835,0.841,0.823
SF,SF,aR,2.2,2.8,2.6,0.849,0.842,0.831,0.835,0.823,0.802
SF,SF,aR,2.2,2.8,2.7,0.852,0.835,0.83,0.836,0.8220000000000001,0.819
SF,SF,aR,2.2,2.8,2.8,0.857,0.843,0.831,0.834,0.829,0.8049999999999999
SF,SF,aR,2.2,2.8,2.9,0.8260000000000001,0.8220000000000001,0.812,0.813,0.8160000000000001,0.798
SF,SF,aR,2.3,2.9,2.1,0.84,0.827,0.8260000000000001,0.819,0.8140000000000001,0.792
SF,SF,aR,2.3,2.9,2.2,0.833,0.833,0.8260000000000001,0.825,0.8240000000000001,0.815
SF,SF,aR,2.3,2.9,2.3,0.8260000000000001,0.831,0.823,0.821,0.8140000000000001,0.8
SF,SF,aR,2.3,2.9,2.4,0.859,0.842,0.846,0.838,0.825,0.804
SF,SF,aR,2.3,2.9,2.5,0.84,0.8280000000000001,0.8200000000000001,0.815,0.8109999999999999,0.7969999999999999
SF,SF,aR,2.3,2.9,2.6,0.847,0.839,0.842,0.837,0.837,0.825
SF,SF,aR,2.3,2.9,2.7,0.836,0.825,0.83,0.823,0.812,0.792
SF,SF,aR,2.3,2.9,2.8,0.836,0.834,0.839,0.838,0.8180000000000001,0.808
SF,SF,aR,2.3,2.9,2.9,0.827,0.8089999999999999,0.806,0.79,0.791,0.794
SF,SF,aNR,2.1,2.7,2.1,0.819,0.8029999999999999,0.802,0.788,0.782,0.744
SF,SF,aNR,2.1,2.7,2.2,0.853,0.8180000000000001,0.823,0.8200000000000001,0.7989999999999999,0.773
SF,SF,aNR,2.1,2.7,2.3,0.833,0.841,0.844,0.821,0.808,0.751
SF,SF,aNR,2.1,2.7,2.4,0.831,0.8200000000000001,0.8009999999999999,0.8,0.768,0.734
SF,SF,aNR,2.1,2.7,2.5,0.832,0.827,0.8089999999999999,0.819,0.8049999999999999,0.768
SF,SF,aNR,2.1,2.7,2.6,0.842,0.827,0.831,0.8200000000000001,0.782,0.741
SF,SF,aNR,2.1,2.7,2.7,0.837,0.815,0.821,0.8140000000000001,0.81,0.766
SF,SF,aNR,2.1,2.7,2.8,0.837,0.827,0.793,0.782,0.772,0.741
SF,SF,aNR,2.1,2.7,2.9,0.831,0.821,0.819,0.815,0.789,0.747
SF,SF,aNR,2.2,2.8,2.1,0.831,0.8220000000000001,0.8109999999999999,0.8140000000000001,0.8,0.76
SF,SF,aNR,2.2,2.8,2.2,0.844,0.834,0.823,0.836,0.8180000000000001,0.776
SF,SF,aNR,2.2,2.8,2.3,0.8240000000000001,0.802,0.806,0.795,0.7969999999999999,0.739
SF,SF,aNR,2.2,2.8,2.4,0.854,0.833,0.821,0.817,0.804,0.754
SF,SF,aNR,2.2,2.8,2.5,0.8280000000000001,0.808,0.802,0.796,0.79,0.749
SF,SF,aNR,2.2,2.8,2.6,0.84,0.8260000000000001,0.808,0.793,0.766,0.741
SF,SF,aNR,2.2,2.8,2.7,0.862,0.833,0.8180000000000001,0.8160000000000001,0.8,0.761
SF,SF,aNR,2.2,2.8,2.8,0.8089999999999999,0.8009999999999999,0.794,0.788,0.771,0.726
SF,SF,aNR,2.2,2.8,2.9,0.866,0.8260000000000001,0.819,0.8140000000000001,0.804,0.754
SF,SF,aNR,2.3,2.9,2.1,0.8260000000000001,0.817,0.802,0.8,0.77,0.738
SF,SF,aNR,2.3,2.9,2.2,0.846,0.8240000000000001,0.823,0.806,0.785,0.738
SF,SF,aNR,2.3,2.9,2.3,0.815,0.806,0.7989999999999999,0.79,0.783,0.736
SF,SF,aNR,2.3,2.9,2.4,0.839,0.8240000000000001,0.8180000000000001,0.808,0.802,0.756
SF,SF,aNR,2.3,2.9,2.5,0.833,0.8220000000000001,0.8140000000000001,0.813,0.787,0.758
SF,SF,aNR,2.3,2.9,2.6,0.831,0.813,0.798,0.788,0.779,0.745
SF,SF,aNR,2.3,2.9,2.7,0.849,0.845,0.8220000000000001,0.8180000000000001,0.796,0.765
SF,SF,aNR,2.3,2.9,2.8,0.841,0.8280000000000001,0.8140000000000001,0.8089999999999999,0.793,0.756
SF,SF,aNR,2.3,2.9,2.9,0.843,0.832,0.8200000000000001,0.8220000000000001,0.7989999999999999,0.739
SF,SL,aR,2.1,2.7,2.1,0.8200000000000001,0.76,0.667,0.604,0.5329999999999999,0.519
SF,SL,aR,2.1,2.7,2.2,0.8220000000000001,0.756,0.6679999999999999,0.637,0.5569999999999999,0.526
SF,SL,aR,2.1,2.7,2.3,0.8029999999999999,0.776,0.665,0.599,0.534,0.5349999999999999
SF,SL,aR,2.1,2.7,2.4,0.8220000000000001,0.774,0.665,0.612,0.531,0.54
SF,SL,aR,2.1,2.7,2.5,0.843,0.787,0.653,0.596,0.515,0.506
SF,SL,aR,2.1,2.7,2.6,0.8109999999999999,0.752,0.63,0.5860000000000001,0.563,0.532
SF,SL,aR,2.1,2.7,2.7,0.81,0.768,0.636,0.585,0.513,0.492
SF,SL,aR,2.1,2.7,2.8,0.834,0.772,0.623,0.575,0.5469999999999999,0.491
SF,SL,aR,2.1,2.7,2.9,0.8220000000000001,0.747,0.631,0.579,0.515,0.517
